userId,movieId,rating,timestamp
1,27,3.0,964986456
1,7,2.0,964981761
1,13,5.0,964985228
1,1,5.0,964985919
1,28,1.0,964983920
1,42,2.0,964984586
1,9,1.0,964986095
1,29,1.0,964983024
1,25,3.0,964984007
1,9,3.0,964985920
2,36,2.0,964984739
2,49,3.0,964981033
2,16,1.0,964984154
2,34,4.0,964983844
2,35,3.0,964987525
2,18,1.0,964982923
2,21,2.0,964982409
2,43,4.0,964984787
2,22,5.0,964985618
2,34,4.0,964986349
2,32,5.0,964986977
3,9,1.0,964981939
3,35,5.0,964983391
3,39,1.0,964982411
3,16,1.0,964985352
3,25,5.0,964985314
3,41,3.0,964981885
3,6,1.0,964982934
3,14,5.0,964984607
3,21,3.0,964986334
3,17,2.0,964987840
3,18,4.0,964985438
3,44,1.0,964987023
3,43,5.0,964982375
4,26,2.0,964982608
4,13,1.0,964981190
4,12,3.0,964982591
4,5,5.0,964981227
4,9,1.0,964987943
4,47,1.0,964981380
4,18,5.0,964987034
4,38,3.0,964982964
4,23,4.0,964987867
4,15,5.0,964981490
4,35,3.0,964981588
4,20,4.0,964986496
4,7,2.0,964983738
5,34,3.0,964981534
5,23,5.0,964986468
5,5,4.0,964982596
5,48,4.0,964981871
5,43,2.0,964986144
5,34,4.0,964984978
6,10,3.0,964987801
6,20,2.0,964985665
6,2,2.0,964982841
6,20,3.0,964983042
6,42,5.0,964985488
6,12,1.0,964981510
6,21,5.0,964986635
6,35,4.0,964981688
6,27,4.0,964983176
6,7,2.0,964985632
6,17,1.0,964986675
6,25,4.0,964983157
6,2,4.0,964982858
7,28,5.0,964982255
7,25,3.0,964987613
7,36,5.0,964983795
7,20,2.0,964987050
7,46,1.0,964982123
7,25,1.0,964985683
7,13,5.0,964983697
7,39,1.0,964982609
8,45,4.0,964984521
8,28,3.0,964983693
8,21,2.0,964985701
8,37,3.0,964983969
8,5,3.0,964985877
8,35,2.0,964985264
8,39,2.0,964982474
8,8,5.0,964982286
8,42,4.0,964985421
8,45,1.0,964981524
8,47,4.0,964981745
9,17,3.0,964987969
9,4,1.0,964987355
9,20,1.0,964986592
9,38,4.0,964986551
9,13,1.0,964985447
9,6,2.0,964982122
9,29,1.0,964984321
9,8,2.0,964984262
9,2,3.0,964982905
9,26,5.0,964986018
9,39,2.0,964986447
9,29,4.0,964983065
9,4,1.0,964982848
9,13,4.0,964981026
10,39,5.0,964986658
10,28,1.0,964981386
10,7,3.0,964986753
10,19,1.0,964983515
10,4,4.0,964985401
10,42,1.0,964987512
10,15,2.0,964982379
10,10,2.0,964982259
11,16,1.0,964987486
11,7,5.0,964983661
11,7,5.0,964983508
11,45,4.0,964986815
11,27,3.0,964983126
11,6,4.0,964986292
12,22,1.0,964983388
12,35,5.0,964981560
12,43,1.0,964985708
12,45,1.0,964981315
12,4,4.0,964983809
12,45,2.0,964983341
12,10,5.0,964984936
12,41,3.0,964985857
12,19,2.0,964986854
12,12,2.0,964983537
12,5,2.0,964983165
13,40,1.0,964984017
13,26,3.0,964985578
13,48,4.0,964981631
13,4,1.0,964982254
13,7,2.0,964987808
13,28,3.0,964987861
13,29,4.0,964982585
14,46,4.0,964981673
14,17,5.0,964983335
14,8,5.0,964985972
14,20,2.0,964985019
14,44,5.0,964986910
14,10,5.0,964986839
14,45,5.0,964985537
15,18,5.0,964984293
15,13,1.0,964983200
15,41,4.0,964985953
15,42,4.0,964983109
15,24,1.0,964987646
15,37,5.0,964985935
15,14,3.0,964986361
15,34,5.0,964982041
16,36,2.0,964981082
16,50,3.0,964986837
16,18,3.0,964987735
16,48,2.0,964982405
16,27,1.0,964986426
16,43,3.0,964987219
16,3,3.0,964986815
16,35,1.0,964981573
16,48,1.0,964984962
16,27,5.0,964984839
16,32,5.0,964983651
16,16,1.0,964981406
16,50,4.0,964984282
17,38,5.0,964984757
17,12,5.0,964982010
17,12,1.0,964982788
17,33,2.0,964982348
17,29,2.0,964982535
17,10,3.0,964985314
17,43,3.0,964984715
17,15,2.0,964982949
17,24,5.0,964984693
18,39,1.0,964982070
18,38,2.0,964982543
18,16,5.0,964981617
18,3,4.0,964984374
18,16,3.0,964982433
18,9,4.0,964983457
18,20,4.0,964983250
18,17,1.0,964983018
19,48,2.0,964982449
19,9,4.0,964985301
19,22,5.0,964986811
19,34,3.0,964985202
19,36,5.0,964985217
19,26,4.0,964985976
19,30,5.0,964984229
19,24,3.0,964981203
19,24,1.0,964986674
19,19,4.0,964986594
19,19,5.0,964983995
20,21,3.0,964987498
20,16,5.0,964984755
20,7,1.0,964981033
20,38,2.0,964982484
20,1,4.0,964983098
20,36,1.0,964981940
20,25,5.0,964986859
20,16,2.0,964986341
20,25,2.0,964981614
20,7,3.0,964987182
20,20,4.0,964982319
21,22,2.0,964984566
21,31,1.0,964981303
21,24,4.0,964986353
21,37,2.0,964983830
21,2,5.0,964981708
22,41,2.0,964986642
22,23,1.0,964986887
22,43,4.0,964982587
22,1,5.0,964982152
22,48,5.0,964985702
22,2,1.0,964986008
22,12,4.0,964983983
22,13,4.0,964983467
22,11,4.0,964987624
23,10,1.0,964986222
23,12,2.0,964986542
23,25,3.0,964985737
23,21,1.0,964983623
23,2,4.0,964985498
23,18,3.0,964983054
